Player ID,Level,Attempts,Time Played,Booster Used,Avg Daily Login,Level Completion Time,Specific Action Usage,Lives from Ads,Purchase Amount,Purchase Date,Purchase Type,Device Type,OS Version,Friend Invites Sent,Friend Invites Received,Guild Chat Messages,Facebook Connect Status,Social Engagement through Facebook
231512,10,69,25533,0,1,50,Wrapped Candy Blast,4,22.39,2024-01-13,In-App,Android,11.2,14,112,0,Yes,low
231512,125,382,12865,4,10,588,Extra Time Boost,0,1.72,2024-01-12,In-App,Samsung Galaxy,11.2,6,3,11,Yes,low
228750,10,78,12293,0,4,50,Color Bomb Usage,2,0.71,2024-01-12,In-App,iPhone,11.9,40,13,3,Yes,low
235916,10,301,7159,0,8,56,Color Bomb Creation,0,69.93,2024-01-12,In-App,iPhone,13.7,0,26,8,No,low
621088,485,4,15623,29,5,1043,Extra Time Boost,0,7.06,2024-01-12,In-App,iPad,14.5,55,22,28,Yes,low
231512,10,4,800,95,10,300,Extra Moves,10,4.44,2024-01-10,In-App,Android,11.3,23,9,10,No,low
231512,10,373,17640,34,7,1172,Extra Time Boost,47,14.01,2024-01-10,In-App,Android,16.4,5,4,9,Yes,low
468812,10,4,800,32,24,137,Extra Time Boost,16,1.28,2024-01-10,In-App,iPad,12.4,29,7,10,No,low
231797,10,49,19473,10,6,50,Special Candy Swap,9,3.85,2024-01-09,In-App,iPad,14.8,12,33,26,Yes,low
232296,167,52,800,16,1,50,Extra Moves,13,30.21,2024-01-09,In-App,Android,11.5,13,7,13,No,low
164996,68,12,1500,95,20,270,Fish Usage,23,9.01,2024-01-09,In-App,iPad,12,16,65,13,No,low
636576,10,96,20632,71,3,273,Striped Candy Swipe,19,0.68,2024-01-09,In-App,iPhone,11.2,17,16,152,Yes,high
145719,10,50,9097,77,17,188,Wrapped Candy Swap,2,24.37,2024-01-07,In-App,iPhone,15.2,10,96,0,No,low
232591,10,106,2291,32,1,1628,Special Candy Swap,0,25.82,2024-01-06,In-App,iPad,11.2,9,31,0,Yes,low
233201,10,150,8393,95,4,814,Extra Moves,10,22.68,2024-01-06,In-App,iPhone,19.3,24,1,0,Yes,low
47380,10,328,800,35,19,50,Extra Moves,1,70.24,2024-01-06,In-App,iPad,11.2,1,4,21,No,low
151691,154,67,800,17,8,2280,Rewarded_Boosters,0,9.32,2024-01-06,In-App,iPhone,15.6,7,0,7,No,low
881700,40,252,8630,21,21,807,Extra Moves,0,9,2024-01-06,In-App,Android,11.2,23,22,4,No,low
1297213,154,115,1106,9,1,2009,Rewarded_Boosters,7,23.78,2024-01-06,In-App,iPad,13.1,0,112,8,No,low
739020,77,4,2415,14,18,378,Fish Usage,0,40.41,2024-01-04,In-App,iPhone,15.8,3,14,0,Yes,low
233337,327,4,800,14,5,494,Wrapped Candy Swap,14,6.48,2024-01-03,In-App,iPad,11.6,5,16,13,No,high
233499,673,4,800,93,5,50,Special Candy Swap,4,8.4,2024-01-03,In-App,iPad,14,0,25,3,Yes,low
34860,35,53,800,28,6,1172,Extra Moves,49,22.95,2024-01-03,In-App,iPhone,13,1,59,40,Yes,low
100625,268,80,800,15,24,50,Fish Usage,7,27.76,2024-01-03,In-App,iPhone,15.8,20,14,6,No,low
227099,186,122,12786,0,7,50,Special Candy Swap,0,8.49,2024-01-03,In-App,iPhone,14.9,0,14,6,No,low
239527,10,71,800,95,22,50,Striped Candy Swipe,0,1.74,2024-01-03,In-App,Samsung Galaxy,11.2,0,58,31,No,low
425527,10,95,17728,36,24,1194,Extra Moves,0,22.54,2024-01-03,In-App,iPhone,11.2,1,9,31,Yes,low
1357274,215,99,1415,36,24,1098,Extra Moves,0,10.22,2024-01-03,In-App,Android,14.6,3,32,38,Yes,low
150490,144,107,6382,16,20,358,Special Candy Swap,2,0.1,2024-01-02,In-App,iPad,11.2,4,28,12,No,low
340671,10,9,4246,33,24,1559,Extra Time Boost,0,24.69,2024-01-02,In-App,iPad,16.3,3,62,0,No,moderate
233563,10,4,95000,1,9,50,Color Bomb Usage,0,18.84,2024-01-01,In-App,Android,11.2,22,8,2,Yes,low
234076,93,145,5121,8,2,95,Rewarded_Boosters,0,99.99,2024-01-01,In-App,Android,12.7,1,7,14,No,low
234301,10,91,4251,15,1,963,Striped Candy Swipe,0,20.59,2024-01-01,In-App,Android,13.3,0,44,0,Yes,low
234459,115,282,2265,73,8,191,Wrapped Candy Blast,0,7.71,2024-01-01,In-App,Samsung Galaxy,11.2,52,6,0,No,low
8281,10,113,14246,7,21,375,Striped Candy Blast,0,5.23,2024-01-01,In-App,Samsung Galaxy,18,0,12,3,Yes,low
17158,998,4,800,3,24,75,Fish Usage,2,35.32,2024-01-01,In-App,iPad,11.2,11,4,34,Yes,moderate
35451,47,23,800,86,1,282,Extra Time Boost,12,99.99,2024-01-01,In-App,iPad,12.6,21,17,26,No,high
94755,199,395,800,14,1,498,Special Candy Swap,4,0.24,2024-01-01,In-App,iPhone,12.2,49,24,12,No,low
130668,10,23,7713,0,1,602,Fish Usage,4,6.75,2024-01-01,In-App,Android,15.3,7,1,0,Yes,low
170930,14,98,1835,14,1,305,Striped Candy Swipe,13,0.12,2024-01-01,In-App,Android,14.5,45,6,18,No,low
28797,61,272,7187,25,21,308,Striped Candy Swipe,0,1.24,2023-12-29,In-App,iPhone,13.7,15,32,24,Yes,low
91854,10,4,800,14,15,382,Extra Time Boost,5,15.91,2023-12-29,In-App,Google Pixel,15,18,20,57,No,low
131969,57,90,12278,66,8,50,Color Bomb Creation,9,69.25,2023-12-29,In-App,iPhone,13.7,19,8,13,Yes,low
206020,622,4,800,43,9,396,Fish Usage,25,1.17,2023-12-29,In-App,iPhone,13.6,4,12,21,No,low
437431,522,4,15128,36,4,285,Color Bomb Usage,16,8.91,2023-12-29,In-App,iPad,12.8,7,18,11,Yes,low
609558,142,58,800,7,1,172,Special Candy Swap,8,6.16,2023-12-29,In-App,Android,14.6,13,0,2,No,low
35927,189,24,800,92,9,247,Special Candy Swap,9,7.15,2023-12-26,In-App,iPhone,12.1,14,40,13,No,low
122321,53,42,1923,32,10,2280,Wrapped Candy Blast,10,36.3,2023-12-26,In-App,iPhone,18,3,1,23,No,high
216728,85,4,800,11,1,374,Fish Usage,2,13.42,2023-12-26,In-App,iPad,11.2,17,9,0,Yes,low
114756,204,4,800,70,8,346,Color Bomb Usage,7,0.31,2023-12-25,In-App,iPhone,14,15,0,10,No,low
180171,115,42,800,31,14,139,Fish Usage,21,10.4,2023-12-25,In-App,Samsung Galaxy,11.2,3,23,0,Yes,low
207724,87,53,800,9,11,429,Striped Candy Swipe,7,25.52,2023-12-25,In-App,iPad,19.3,0,9,10,Yes,low
623632,232,28,8279,12,7,927,Color Bomb Usage,15,16.3,2023-12-25,In-App,iPad,15.1,51,11,61,Yes,low
1010043,10,277,800,95,24,891,Wrapped Candy Blast,0,24.37,2023-12-25,In-App,Android,13.9,8,35,10,Yes,low
235169,22,4,58258,3,5,219,Wrapped Candy Blast,0,75.15,2023-12-24,In-App,iPhone,13,18,4,0,No,low
195070,10,332,94238,64,19,50,Color Bomb Creation,0,20.87,2023-12-24,In-App,iPhone,11.2,19,112,37,Yes,moderate
235237,90,29,11790,9,2,50,Special Candy Swap,23,16.09,2023-12-23,In-App,iPhone,13,5,3,24,No,low
235237,131,88,10336,21,21,1330,Color Bomb Creation,3,9.84,2023-12-23,In-App,iPad,11.2,26,7,0,Yes,low
235279,444,4,14239,32,1,1803,Wrapped Candy Blast,5,16.03,2023-12-23,In-App,iPad,19.3,15,0,0,Yes,low
235391,168,93,800,6,9,50,Special Candy Swap,49,20.93,2023-12-23,In-App,iPhone,11.2,0,81,12,No,low
235411,10,4,800,13,18,1021,Color Bomb Creation,1,1.03,2023-12-23,In-App,iPhone,11.2,3,0,0,No,low
235628,124,400,95000,36,1,50,Fish Usage,49,19.05,2023-12-23,In-App,iPad,12.1,12,12,5,No,low
42313,310,149,19335,13,22,298,Striped Candy Swipe,0,96.62,2023-12-23,In-App,iPhone,13.9,0,24,1,No,low
86760,10,178,60355,0,4,1410,Striped Candy Swipe,4,11.17,2023-12-23,In-App,iPad,14.2,17,8,11,Yes,low
457612,10,81,800,75,21,163,Color Bomb Creation,8,3,2023-12-23,In-App,iPad,11.3,4,18,67,Yes,low
528707,99,79,12566,95,2,510,Striped Candy Swipe,2,5.97,2023-12-23,In-App,iPad,16.5,1,0,8,Yes,low
579282,164,14,66156,32,6,903,Extra Moves,0,67.34,2023-12-23,In-App,iPad,19.1,21,8,5,No,low
758218,131,68,1566,0,19,339,Special Candy Swap,0,22,2023-12-23,In-App,iPad,14.4,51,57,7,Yes,low
235746,10,4,800,8,23,790,Extra Moves,49,11,2023-12-22,In-App,iPhone,11.2,50,4,5,Yes,low
124556,451,4,800,15,1,374,Extra Moves,1,12.88,2023-12-22,In-App,iPhone,14.7,24,8,42,No,low
162242,359,15,27716,2,24,190,Extra Moves,0,14.81,2023-12-22,In-App,iPhone,11.2,0,5,86,No,low
170882,19,4,7857,74,1,1596,Striped Candy Swipe,0,99.99,2023-12-22,In-App,iPad,12.6,19,16,0,No,low
218091,256,58,30716,12,1,748,Extra Moves,0,12.5,2023-12-22,In-App,Samsung Galaxy,14.1,1,1,1,No,low
633325,966,4,800,2,24,103,Fish Usage,0,5.53,2023-12-22,In-App,iPad,15.9,7,2,41,Yes,low
652788,175,4,32233,0,1,50,Extra Time Boost,1,2.12,2023-12-22,In-App,Android,11.6,6,20,4,Yes,low
235787,10,400,800,26,9,646,Striped Candy Swipe,3,99.99,2023-12-21,In-App,Google Pixel,17.6,22,112,0,No,low
180127,10,400,95000,51,24,509,Extra Time Boost,0,49.79,2023-12-21,In-App,iPad,11.2,4,112,0,No,low
905953,134,38,4072,23,21,145,Striped Candy Swipe,34,24.01,2023-12-21,In-App,Android,16.2,29,19,117,No,low
235916,87,47,800,14,23,526,Fish Blast,3,21.42,2023-12-20,In-App,iPhone,16.7,7,2,0,No,low
235971,126,232,883,30,1,420,Fish Blast,2,99.99,2023-12-20,In-App,iPhone,15.8,20,21,7,Yes,moderate
236075,193,54,7020,56,10,441,Wrapped Candy Swap,30,7.97,2023-12-20,In-App,iPhone,13.6,36,1,89,No,low
40807,401,122,800,11,6,911,Striped Candy Swipe,12,99.99,2023-12-20,In-App,iPad,14.2,2,9,162,No,low
136400,230,35,800,52,1,142,Wrapped Candy Swap,14,10.68,2023-12-20,In-App,iPad,18,24,4,42,No,low
166852,138,116,800,13,21,827,Extra Moves,49,18.51,2023-12-20,In-App,iPad,12.9,2,5,30,No,low
193363,10,4,800,5,1,250,Fish Usage,16,10.39,2023-12-20,In-App,iPhone,13.7,5,3,12,No,low
537581,62,206,800,14,11,336,Extra Moves,31,5.95,2023-12-20,In-App,iPad,13.7,0,0,2,No,low
1158290,10,67,800,14,2,889,Fish Usage,0,21.73,2023-12-20,In-App,Samsung Galaxy,14,46,8,0,Yes,low
1353898,173,49,8429,32,4,50,Color Bomb Usage,9,18.42,2023-12-20,In-App,iPad,18.4,0,0,7,Yes,low
18948,10,100,800,36,1,1396,Striped Candy Swipe,6,6.5,2023-12-19,In-App,iPad,16.9,0,8,14,No,low
26309,10,331,800,15,5,1015,Fish Usage,22,16.7,2023-12-19,In-App,iPad,12.7,15,82,37,Yes,high
803618,10,95,2364,0,23,69,Extra Moves,0,15.33,2023-12-18,In-App,iPhone,12.5,2,112,0,No,low
914699,174,240,11453,2,24,357,Extra Moves,0,90.57,2023-12-17,In-App,iPhone,12.4,4,4,0,No,high
916874,10,222,800,10,24,584,Extra Moves,7,22.54,2023-12-17,In-App,iPad,11.2,41,20,17,No,low
917726,998,10,7735,26,6,454,Extra Moves,1,8.64,2023-12-17,In-App,iPad,12.5,7,5,4,Yes,low
919650,10,10,32021,82,24,507,Fish Usage,0,1.33,2023-12-17,In-App,iPhone,14,26,7,15,Yes,high
924134,169,87,800,0,1,271,Striped Candy Swap,11,99.99,2023-12-17,In-App,iPhone,18.3,15,0,0,Yes,low
24443,25,75,800,3,1,50,Striped Candy Swipe,12,99.99,2023-12-17,In-App,iPad,11.2,4,37,6,Yes,low
98741,10,400,800,6,24,1845,Special Candy Swap,13,1.13,2023-12-17,In-App,iPhone,19,14,0,21,No,low
162228,16,4,800,38,14,50,Striped Candy Swipe,0,19.76,2023-12-17,In-App,iPhone,16.3,57,10,0,Yes,low
190874,10,70,800,32,4,972,Striped Candy Swipe,8,7.99,2023-12-17,In-App,iPhone,12.5,7,6,1,Yes,low
202810,31,261,1832,15,11,1671,Wrapped Candy Blast,4,13.68,2023-12-17,In-App,Android,15,6,2,11,Yes,low
206135,116,13,23531,10,24,1497,Color Bomb Usage,0,13.86,2023-12-17,In-App,iPad,14.5,27,7,1,No,low
424436,203,256,36085,9,3,503,Striped Candy Swipe,2,25.4,2023-12-17,In-App,iPad,12.1,6,18,162,Yes,low
637787,158,38,35036,0,4,961,Striped Candy Blast,0,99.99,2023-12-17,In-App,Samsung Galaxy,11.2,1,7,14,No,moderate
867838,192,91,7276,0,24,2280,Color Bomb Usage,0,13.05,2023-12-17,In-App,iPhone,13.9,16,17,23,No,low
1255066,137,105,800,11,3,260,Striped Candy Blast,3,16.14,2023-12-17,In-App,iPhone,17.9,19,1,2,No,high
939086,10,4,5372,13,11,255,Fish Usage,2,1.8,2023-12-16,In-App,iPad,14.2,7,20,34,No,low
939873,144,198,800,3,24,113,Fish Usage,12,20.58,2023-12-16,In-App,iPad,14.3,16,4,103,No,low
939883,213,186,3539,19,23,50,Fish Usage,0,28.89,2023-12-16,In-App,Android,11.5,8,11,12,No,low
940054,10,39,800,95,24,50,Color Bomb Usage,13,24.44,2023-12-16,In-App,iPhone,11.2,76,30,4,No,low
944514,70,4,11707,95,3,529,Extra Moves,9,1.44,2023-12-16,In-App,iPhone,12.5,27,9,11,No,low
947391,53,9,9608,81,3,1296,Fish Blast,8,19.16,2023-12-16,In-App,iPad,11.2,43,15,0,No,low
13530,83,4,2475,27,1,754,Fish Usage,0,0.63,2023-12-16,In-App,iPad,15.8,16,9,38,Yes,low
38573,10,27,12082,7,24,502,Fish Usage,4,9.25,2023-12-16,In-App,iPad,16.2,76,47,36,No,low
72136,120,194,800,61,1,498,Extra Moves,13,24.41,2023-12-16,In-App,iPad,11.5,6,19,13,No,high
74116,240,70,800,26,3,791,Striped Candy Swipe,2,8.26,2023-12-16,In-App,iPad,13,13,2,67,No,low
127163,46,104,800,73,4,1005,Striped Candy Blast,5,1.53,2023-12-16,In-App,iPhone,12,1,0,31,No,low
168922,10,145,800,95,6,149,Fish Usage,49,5.09,2023-12-16,In-App,iPhone,14.5,15,1,101,Yes,low
171493,69,4,800,10,10,2280,Fish Usage,2,99.99,2023-12-16,In-App,iPad,17.3,16,22,25,Yes,low
172937,959,72,800,6,23,146,Fish Blast,0,37.56,2023-12-16,In-App,iPhone,17.7,7,19,84,No,low
200210,23,400,9398,95,1,283,Striped Candy Swipe,8,1.23,2023-12-16,In-App,iPhone,13.5,13,4,13,Yes,low
202390,95,176,3288,9,1,482,Fish Usage,2,58.69,2023-12-16,In-App,Samsung Galaxy,16.1,0,6,16,Yes,low
202983,10,107,5140,3,3,552,Special Candy Swap,25,60.16,2023-12-16,In-App,Android,11.8,5,7,0,Yes,low
221270,10,324,800,82,1,489,Striped Candy Swap,11,13.64,2023-12-16,In-App,iPad,11.4,0,6,0,No,low
233337,998,46,2875,0,20,1246,Color Bomb Creation,0,9.43,2023-12-16,In-App,Samsung Galaxy,16.3,5,23,21,No,low
237017,10,103,800,95,5,651,Extra Moves,6,8.09,2023-12-16,In-App,iPhone,17.8,0,0,20,Yes,low
788768,10,113,13844,83,24,512,Extra Time Boost,2,25.8,2023-12-16,In-App,Android,19.3,0,0,5,Yes,low
917726,68,57,800,14,9,534,Wrapped Candy Blast,0,99.99,2023-12-16,In-App,iPhone,11.2,0,2,57,No,low
8808279,50,4,800,15,1,392,Wrapped Candy Blast,22,12.3,2023-12-16,In-App,iPad,14,0,0,6,No,low
947957,10,4,13563,20,8,50,Special Candy Swap,12,26.63,2023-12-15,In-App,Samsung Galaxy,13.9,18,4,12,Yes,low
951832,29,89,2483,15,1,467,Wrapped Candy Blast,0,5.75,2023-12-15,In-App,iPhone,14,12,21,0,No,low
952382,89,4,50163,18,5,82,Wrapped Candy Blast,0,2.18,2023-12-15,In-App,Android,14.4,7,16,20,Yes,moderate
962313,74,4,38976,20,23,50,Wrapped Candy Blast,30,8.43,2023-12-15,In-App,iPhone,11.2,7,23,11,Yes,low
970579,201,289,8005,5,24,1032,Extra Time Boost,0,13.72,2023-12-15,In-App,iPad,16.4,43,6,12,No,low
972579,506,272,800,30,24,424,Special Candy Swap,49,15.94,2023-12-15,In-App,iPhone,19.3,20,0,3,No,high
972723,10,31,800,14,1,545,Extra Time Boost,6,6.79,2023-12-15,In-App,iPhone,12.1,12,0,9,Yes,low
978613,35,4,800,71,24,248,Striped Candy Blast,4,36.27,2023-12-15,In-App,iPad,11.4,2,6,162,No,low
980428,158,4,800,12,1,2153,Fish Usage,8,81.41,2023-12-15,In-App,iPhone,13.4,5,13,11,Yes,low
7165,204,4,12629,2,1,50,Extra Time Boost,49,16.77,2023-12-15,In-App,iPad,16.2,24,52,12,Yes,low
13497,205,24,800,3,1,1464,Striped Candy Swipe,0,20.96,2023-12-15,In-App,iPhone,11.2,1,3,91,Yes,low
18801,10,73,800,42,14,527,Extra Time Boost,7,3.55,2023-12-15,In-App,Android,11.2,15,12,39,Yes,low
23028,196,4,800,7,8,110,Extra Time Boost,9,41.55,2023-12-15,In-App,iPad,14.9,18,9,39,No,low
35640,998,4,800,7,8,240,Special Candy Swap,5,86.76,2023-12-15,In-App,iPad,13,14,12,1,Yes,low
81724,10,400,800,29,1,50,Color Bomb Creation,5,25.3,2023-12-15,In-App,iPhone,14.8,2,6,0,No,moderate
86713,998,307,800,1,13,50,Fish Usage,12,1.62,2023-12-15,In-App,iPad,15,12,0,13,No,low
109569,458,311,17882,20,23,883,Striped Candy Swipe,0,17.18,2023-12-15,In-App,iPad,13.8,9,20,6,Yes,low
119700,22,108,800,13,22,393,Striped Candy Swipe,12,24.62,2023-12-15,In-App,iPhone,14.1,4,8,103,Yes,low
119960,217,4,64240,0,10,50,Extra Moves,0,25.98,2023-12-15,In-App,iPhone,19.3,5,0,18,Yes,low
122042,164,160,4202,62,17,946,Fish Usage,25,0.49,2023-12-15,In-App,Samsung Galaxy,18.2,5,4,71,No,low
158064,90,106,3435,43,3,478,Wrapped Candy Blast,0,20.82,2023-12-15,In-App,iPhone,11.2,0,14,0,No,low
167667,998,107,800,4,1,65,Striped Candy Swipe,7,25.73,2023-12-15,In-App,Google Pixel,11.8,0,8,41,No,low
176994,10,62,95000,16,1,50,Striped Candy Swipe,0,4.55,2023-12-15,In-App,Samsung Galaxy,16,48,7,34,Yes,low
187152,10,73,800,36,4,494,Fish Usage,5,19.37,2023-12-15,In-App,iPhone,15.5,12,112,29,No,low
197043,221,69,13342,1,3,581,Rewarded_Boosters,11,99.99,2023-12-15,In-App,iPhone,16.8,1,15,88,Yes,low
205785,10,19,8884,38,15,50,Color Bomb Creation,0,14.43,2023-12-15,In-App,iPhone,18.9,4,0,0,No,low
218628,998,70,60085,0,1,50,Color Bomb Usage,0,15.16,2023-12-15,In-App,iPhone,18.7,14,26,14,Yes,low
479438,40,42,800,15,21,2280,Striped Candy Blast,49,23.35,2023-12-15,In-App,Android,13.9,7,0,53,Yes,low
545200,109,99,23808,12,1,361,Color Bomb Usage,6,25.97,2023-12-15,In-App,iPad,14.7,2,7,10,Yes,low
623311,160,400,3659,32,1,50,Striped Candy Swap,49,17.5,2023-12-15,In-App,iPad,11.2,0,21,5,No,low
688075,10,66,800,63,10,891,Color Bomb Creation,0,7.59,2023-12-15,In-App,iPad,11.2,2,23,162,Yes,low
1224531,127,13,95000,45,14,397,Wrapped Candy Blast,0,2.79,2023-12-15,In-App,iPhone,12.8,24,16,63,Yes,low
1318502,10,379,5616,2,24,2140,Extra Time Boost,4,7.22,2023-12-15,In-App,iPad,13.3,3,19,162,Yes,low
5045840,34,77,800,83,7,859,Striped Candy Swipe,10,55.7,2023-12-15,In-App,iPad,11.6,0,0,73,No,high
8808279,203,142,800,95,11,1386,Striped Candy Swipe,7,22.12,2023-12-15,In-App,Android,14.3,3,6,36,No,low
981225,221,306,75410,47,8,50,Striped Candy Swipe,0,52.55,2023-12-14,In-App,iPad,11.2,18,9,28,Yes,low
156890,35,352,37203,4,8,1394,Fish Usage,0,15.24,2023-12-14,In-App,iPad,11.2,14,10,0,No,low
211665,10,37,38793,14,4,1591,Striped Candy Swipe,0,5.07,2023-12-14,In-App,iPad,12.1,35,25,0,Yes,low
238097,824,8,800,43,24,499,Special Candy Swap,0,17.05,2023-12-14,In-App,Android,19.3,18,46,35,Yes,low
557974,91,12,6170,35,19,50,Fish Usage,0,2.26,2023-12-14,In-App,iPhone,13.3,12,0,6,Yes,high
984470,110,42,8193,10,24,50,Extra Moves,35,9.01,2023-12-13,In-App,iPad,11.2,49,94,10,No,low
984920,21,78,63321,27,24,50,Extra Time Boost,2,4.44,2023-12-13,In-App,Android,12.3,27,14,0,Yes,low
69393,10,339,800,33,7,435,Extra Moves,49,99.99,2023-12-13,In-App,iPad,11.2,11,3,0,No,low
141845,31,364,6470,11,1,986,Striped Candy Swap,9,19.32,2023-12-13,In-App,iPhone,11.4,12,23,2,No,low
717858,107,4,800,28,17,1005,Fish Blast,0,6.04,2023-12-13,In-App,iPad,11.2,4,15,3,No,low
1022052,10,400,24821,7,12,585,Fish Blast,16,35.88,2023-12-13,In-App,iPad,13.1,18,30,41,No,low
985720,162,258,12417,93,1,112,Striped Candy Swipe,21,18.88,2023-12-12,In-App,iPad,11.2,29,23,34,Yes,low
986239,173,113,800,23,5,170,Extra Moves,14,17.81,2023-12-12,In-App,iPhone,11.9,0,0,0,No,low
991659,46,4,800,7,11,50,Fish Usage,0,4.4,2023-12-12,In-App,iPad,16.9,5,7,0,Yes,low
995797,642,64,800,95,3,263,Color Bomb Usage,12,2.99,2023-12-12,In-App,iPhone,15.5,0,4,13,No,low
65725,10,358,1794,1,24,2280,Wrapped Candy Blast,49,8.94,2023-12-12,In-App,iPhone,13.2,7,0,5,No,low
65727,416,48,22744,95,11,304,Special Candy Swap,0,24.85,2023-12-12,In-App,iPad,15.7,28,4,12,Yes,low
65875,97,142,5156,42,1,50,Special Candy Swap,28,22.76,2023-12-12,In-App,iPad,13,2,5,128,No,low
65906,40,400,8528,73,24,448,Extra Moves,1,6.19,2023-12-12,In-App,iPhone,14.8,21,6,23,No,low
65906,202,4,28100,29,24,378,Fish Usage,0,0.71,2023-12-12,In-App,iPad,11.2,13,5,35,No,low
65906,998,4,23470,10,1,50,Extra Moves,36,99.99,2023-12-12,In-App,Samsung Galaxy,11.2,17,112,41,No,low
8696,10,189,800,14,1,229,Color Bomb Usage,4,3.68,2023-12-12,In-App,iPhone,11.2,5,5,0,No,low
10996,10,190,800,16,8,1218,Fish Usage,6,24.29,2023-12-12,In-App,iPhone,13.3,0,3,5,No,low
32577,98,4,48230,10,24,966,Striped Candy Swipe,0,27.15,2023-12-12,In-App,iPad,14.1,0,6,3,Yes,low
121994,10,252,11561,49,24,93,Wrapped Candy Swap,0,21.05,2023-12-12,In-App,iPhone,16.6,15,15,4,Yes,low
156671,114,23,800,2,24,381,Color Bomb Creation,3,,2023-12-12,,iPad,15.6,4,0,10,No,low
157717,10,82,11833,95,1,159,Striped Candy Swipe,0,24.59,2023-12-12,In-App,iPad,17.7,6,6,5,Yes,low
170556,97,4,800,14,23,981,Fish Usage,49,7.46,2023-12-12,In-App,iPhone,19.3,76,0,15,No,low
197753,10,157,800,5,13,166,Wrapped Candy Swap,2,24.88,2023-12-12,In-App,iPhone,12.1,0,4,5,Yes,low
204317,10,34,800,13,9,262,Extra Time Boost,0,9.4,2023-12-12,In-App,iPhone,13.5,2,0,0,No,low
208711,10,108,29447,0,5,50,Extra Moves,34,21.02,2023-12-12,In-App,iPhone,15.8,14,20,6,Yes,low
211189,338,8,800,91,1,50,Extra Moves,6,7.98,2023-12-12,In-App,Samsung Galaxy,14.4,0,15,33,No,low
214202,10,228,800,82,1,273,Striped Candy Swipe,7,0.45,2023-12-12,In-App,Android,11.2,0,3,7,Yes,low
229462,126,400,800,58,1,561,Extra Time Boost,2,,2023-12-12,,iPad,14,32,18,19,Yes,low
234301,103,116,10842,9,23,462,Extra Moves,0,15.39,2023-12-12,In-App,iPad,17.8,0,13,16,No,low
365895,10,47,18661,95,22,1370,Special Candy Swap,4,10.31,2023-12-12,In-App,iPad,12.6,19,0,6,Yes,low
380377,66,4,10849,11,10,505,Extra Moves,0,50.03,2023-12-12,In-App,iPad,13.6,5,13,0,No,low
386720,26,186,2242,14,19,1030,Extra Moves,0,6.38,2023-12-12,In-App,iPad,11.9,6,5,0,No,low
462272,56,51,800,5,1,111,Wrapped Candy Blast,7,99.99,2023-12-12,In-App,iPhone,12,9,8,0,Yes,low
