,Player ID,Level,Attempts,Time Played,Booster Used,Avg Daily Login,Level Completion Time,Specific Action Usage,Lives from Ads,Purchase Amount,Purchase Date,Purchase Type,Friend Invites Sent,Friend Invites Received,Guild Chat Messages,Facebook Connect Status,Social Engagement through Facebook,Purchase Frequency,Total Booster Usage,Level Progression Rate,Time Since Last Purchase,Average Daily Playtime,Social Engagement Ratio,Overall Engagement Score,Scaled Social Engagement Ratio,Total Purchase Amount,Churn Prediction
22,228750,10,78,12293,0,4,50,Color Bomb Usage,2,0.71,2024-01-12 00:00:00.000000000,0,40,13,3,1,1,1,2,0.0008134710811030668,20.0,3073.25,14.0,2776.625406735541,14.0,0.71,False
23,235916,10,301,7159,0,8,56,Color Bomb Creation,0,69.93,2024-01-12 00:00:00.000000000,0,0,26,8,0,1,2,0,0.0013968431345159939,20.0,894.875,4.25,810.1631984215672,4.25,91.35000000000001,False
24,621088,485,4,15623,29,5,1043,Extra Time Boost,0,7.06,2024-01-12 00:00:00.000000000,0,55,22,28,1,1,1,29,0.031043973628624464,20.0,3124.6,21.0,2827.755521986814,21.0,7.06,False
25,231512,10,4,800,95,10,300,Extra Moves,10,4.44,2024-01-10 00:00:00.000000000,0,23,9,10,0,1,6,105,0.0125,22.0,80.0,4.2,80.34625,4.2,241.92,False
26,231512,10,373,17640,34,7,1172,Extra Time Boost,47,14.01,2024-01-10 00:00:00.000000000,0,5,4,9,1,1,6,81,0.0005668934240362812,22.0,2520.0,2.5714285714285716,2275.200283446712,2.5714285714285716,241.92,False
27,468812,10,4,800,32,24,137,Extra Time Boost,16,1.28,2024-01-10 00:00:00.000000000,0,29,7,10,0,1,2,48,0.0125,22.0,33.333333333333336,1.9166666666666667,33.14791666666667,1.9166666666666667,5.46,False
28,231797,10,49,19473,10,6,50,Special Candy Swap,9,3.85,2024-01-09 00:00:00.000000000,0,12,33,26,1,1,2,19,0.0005135315565141478,23.0,3245.5,11.833333333333334,2931.033590099112,11.833333333333334,27.110000000000003,False
29,232296,167,52,800,16,1,50,Extra Moves,13,30.21,2024-01-09 00:00:00.000000000,0,13,7,13,0,1,1,29,0.20875,23.0,800.0,33.0,744.104375,33.0,30.21,False
30,164996,68,12,1500,95,20,270,Fish Usage,23,9.01,2024-01-09 00:00:00.000000000,0,16,65,13,0,1,1,118,0.04533333333333334,23.0,75.0,4.7,71.71266666666668,4.7,9.01,False
31,636576,10,96,20632,71,3,273,Striped Candy Swipe,19,0.68,2024-01-09 00:00:00.000000000,0,17,16,152,1,0,2,90,0.0004846839860411012,23.0,6877.333333333333,61.666666666666664,6234.566909008659,61.666666666666664,5.97,False
32,145719,10,50,9097,77,17,188,Wrapped Candy Swap,2,24.37,2024-01-07 00:00:00.000000000,0,10,96,0,0,1,1,79,0.0010992634934593821,25.0,535.1176470588235,6.235294117647059,486.87113786704083,6.235294117647059,24.37,False
33,232591,10,106,2291,32,1,1628,Special Candy Swap,0,25.82,2024-01-06 00:00:00.000000000,0,9,31,0,1,1,2,32,0.004364906154517678,26.0,2291.0,40.0,2091.7021824530775,40.0,43.55,False
34,233201,10,150,8393,95,4,814,Extra Moves,10,22.68,2024-01-06 00:00:00.000000000,0,24,1,0,1,1,1,105,0.0011914690813773384,26.0,2098.25,6.25,1893.7005957345407,6.25,22.68,False
35,47380,10,328,800,35,19,50,Extra Moves,1,70.24,2024-01-06 00:00:00.000000000,0,1,4,21,0,1,1,36,0.0125,26.0,42.10526315789474,1.368421052631579,39.758881578947374,1.368421052631579,70.24,False
36,151691,154,67,800,17,8,2280,Rewarded_Boosters,0,9.32,2024-01-06 00:00:00.000000000,0,7,0,7,0,1,1,17,0.1925,26.0,100.0,1.75,92.22125,1.75,9.32,False
37,881700,40,252,8630,21,21,807,Extra Moves,0,9.0,2024-01-06 00:00:00.000000000,0,23,22,4,0,1,2,21,0.004634994206257242,26.0,410.95238095238096,2.3333333333333335,373.2927936875794,2.3333333333333335,30.54,False
38,1297213,154,115,1106,9,1,2009,Rewarded_Boosters,7,23.78,2024-01-06 00:00:00.000000000,0,0,112,8,0,1,1,16,0.13924050632911392,26.0,1106.0,120.0,1080.3696202531648,100.0,23.78,False
39,739020,77,4,2415,14,18,378,Fish Usage,0,40.41,2024-01-04 00:00:00.000000000,0,3,14,0,1,1,2,14,0.03188405797101449,28.0,134.16666666666666,0.9444444444444444,123.22705314009661,0.9444444444444444,63.58,False
40,233337,327,4,800,14,5,494,Wrapped Candy Swap,14,6.48,2024-01-03 00:00:00.000000000,0,5,16,13,0,0,2,28,0.40875,29.0,160.0,6.8,150.764375,6.8,15.91,False
41,233499,673,4,800,93,5,50,Special Candy Swap,4,8.4,2024-01-03 00:00:00.000000000,0,0,25,3,1,1,2,97,0.84125,29.0,160.0,5.6,150.140625,5.6,38.96,False
42,34860,35,53,800,28,6,1172,Extra Moves,49,22.95,2024-01-03 00:00:00.000000000,0,1,59,40,1,1,1,77,0.04375,29.0,133.33333333333334,16.666666666666668,132.58854166666669,16.666666666666668,22.95,False
43,100625,268,80,800,15,24,50,Fish Usage,7,27.76,2024-01-03 00:00:00.000000000,0,20,14,6,0,1,1,22,0.335,29.0,33.333333333333336,1.6666666666666667,32.234166666666674,1.6666666666666667,27.76,False
44,227099,186,122,12786,0,7,50,Special Candy Swap,0,8.49,2024-01-03 00:00:00.000000000,0,0,14,6,0,1,1,0,0.014547160957297044,29.0,1826.5714285714287,2.857142857142857,1646.8215592947645,2.857142857142857,8.49,False
45,239527,10,71,800,95,22,50,Striped Candy Swipe,0,1.74,2024-01-03 00:00:00.000000000,0,0,58,31,0,1,1,95,0.0125,29.0,36.36363636363637,4.045454545454546,36.46534090909091,4.045454545454546,1.74,False
46,425527,10,95,17728,36,24,1194,Extra Moves,0,22.54,2024-01-03 00:00:00.000000000,0,1,9,31,1,1,1,36,0.0005640794223826715,29.0,738.6666666666666,1.7083333333333333,666.8961153730445,1.7083333333333333,22.54,False
47,1357274,215,99,1415,36,24,1098,Extra Moves,0,10.22,2024-01-03 00:00:00.000000000,0,3,32,38,1,1,1,36,0.1519434628975265,29.0,58.958333333333336,3.0416666666666665,56.16763839811542,3.0416666666666665,10.22,False
48,150490,144,107,6382,16,20,358,Special Candy Swap,2,0.1,2024-01-02 00:00:00.000000000,0,4,28,12,0,1,1,18,0.022563459730492008,30.0,319.1,2.2,289.6412817298653,2.2,0.1,False
49,340671,10,9,4246,33,24,1559,Extra Time Boost,0,24.69,2024-01-02 00:00:00.000000000,0,3,62,0,0,2,1,33,0.0023551577955723034,30.0,176.91666666666666,2.7083333333333335,162.02201091223114,2.7083333333333335,24.69,False
50,233563,10,4,95000,1,9,50,Color Bomb Usage,0,18.84,2024-01-01 00:00:00.000000000,0,22,8,2,1,1,2,1,0.00010526315789473685,31.0,10555.555555555555,3.5555555555555554,9504.288941520468,3.5555555555555554,118.83,False
51,234076,93,145,5121,8,2,95,Rewarded_Boosters,0,99.99,2024-01-01 00:00:00.000000000,0,1,7,14,0,1,2,8,0.01816051552431166,31.0,2560.5,11.0,2313.9590802577623,11.0,107.44999999999999,False
52,234301,10,91,4251,15,1,963,Striped Candy Swipe,0,20.59,2024-01-01 00:00:00.000000000,0,0,44,0,1,1,2,15,0.002352387673488591,31.0,4251.0,44.0,3858.501176193837,44.0,35.980000000000004,False
53,234459,115,282,2265,73,8,191,Wrapped Candy Blast,0,7.71,2024-01-01 00:00:00.000000000,0,52,6,0,0,1,1,73,0.05077262693156733,31.0,283.125,7.25,260.81288631346575,7.25,7.71,False
54,8281,10,113,14246,7,21,375,Striped Candy Blast,0,5.23,2024-01-01 00:00:00.000000000,0,0,12,3,1,1,1,7,0.0007019514249613927,31.0,678.3809523809524,0.7142857142857143,611.9432081185697,0.7142857142857143,5.23,False
55,17158,998,4,800,3,24,75,Fish Usage,2,35.32,2024-01-01 00:00:00.000000000,0,11,4,34,1,2,1,5,1.2475,31.0,33.333333333333336,2.0416666666666665,32.95291666666667,2.0416666666666665,35.32,False
56,35451,47,23,800,86,1,282,Extra Time Boost,12,99.99,2024-01-01 00:00:00.000000000,0,21,17,26,0,0,1,98,0.05875,31.0,800.0,64.0,765.7293749999999,64.0,99.99,False
57,94755,199,395,800,14,1,498,Special Candy Swap,4,0.24,2024-01-01 00:00:00.000000000,0,49,24,12,0,1,1,18,0.24875,31.0,800.0,85.0,780.524375,85.0,0.24,False
58,130668,10,23,7713,0,1,602,Fish Usage,4,6.75,2024-01-01 00:00:00.000000000,0,7,1,0,1,1,1,4,0.0012965123816932453,31.0,7713.0,8.0,6948.200648256191,8.0,6.75,False
59,170930,14,98,1835,14,1,305,Striped Candy Swipe,13,0.12,2024-01-01 00:00:00.000000000,0,45,6,18,0,1,1,27,0.007629427792915531,31.0,1835.0,69.0,1700.7038147138965,69.0,0.12,False
60,28797,61,272,7187,25,21,308,Striped Candy Swipe,0,1.24,2023-12-29 00:00:00.000000000,0,15,32,24,1,1,1,25,0.008487546959788508,34.0,342.23809523809524,3.380952380952381,311.2851961544323,3.380952380952381,1.24,False
61,91854,10,4,800,14,15,382,Extra Time Boost,5,15.91,2023-12-29 00:00:00.000000000,0,18,20,57,0,1,1,19,0.0125,34.0,53.333333333333336,6.333333333333333,53.33958333333333,6.333333333333333,15.91,False
62,131969,57,90,12278,66,8,50,Color Bomb Creation,9,69.25,2023-12-29 00:00:00.000000000,0,19,8,13,1,1,1,75,0.004642449910408861,34.0,1534.75,5.0,1385.6773212249554,5.0,69.25,False
63,206020,622,4,800,43,9,396,Fish Usage,25,1.17,2023-12-29 00:00:00.000000000,0,4,12,21,0,1,2,68,0.7775,34.0,88.88888888888889,4.111111111111111,85.06652777777778,4.111111111111111,6.36,False
64,437431,522,4,15128,36,4,285,Color Bomb Usage,16,8.91,2023-12-29 00:00:00.000000000,0,7,18,11,1,1,1,52,0.03450555261766261,34.0,3782.0,9.0,3411.0172527763093,9.0,8.91,False
65,609558,142,58,800,7,1,172,Special Candy Swap,8,6.16,2023-12-29 00:00:00.000000000,0,13,0,2,0,1,1,15,0.1775,34.0,800.0,15.0,731.48875,15.0,6.16,False
66,35927,189,24,800,92,9,247,Special Candy Swap,9,7.15,2023-12-26 00:00:00.000000000,0,14,40,13,0,1,1,101,0.23625,37.0,88.88888888888889,7.444444444444445,86.22923611111112,7.444444444444445,7.15,False
67,122321,53,42,1923,32,10,2280,Wrapped Candy Blast,10,36.3,2023-12-26 00:00:00.000000000,0,3,1,23,0,0,1,42,0.027561102444097763,37.0,192.3,2.7,175.87378055122207,2.7,36.3,False
68,216728,85,4,800,11,1,374,Fish Usage,2,13.42,2023-12-26 00:00:00.000000000,0,17,9,0,1,1,2,13,0.10625,37.0,800.0,26.0,740.053125,26.0,38.32,False
69,114756,204,4,800,70,8,346,Color Bomb Usage,7,0.31,2023-12-25 00:00:00.000000000,0,15,0,10,0,1,1,77,0.255,38.0,100.0,3.125,93.215,3.125,0.31,False
70,180171,115,42,800,31,14,139,Fish Usage,21,10.4,2023-12-25 00:00:00.000000000,0,3,23,0,1,1,1,52,0.14375,38.0,57.142857142857146,1.8571428571428572,53.700446428571425,1.8571428571428572,10.4,False
71,207724,87,53,800,9,11,429,Striped Candy Swipe,7,25.52,2023-12-25 00:00:00.000000000,0,0,9,10,1,1,2,16,0.10875,38.0,72.72727272727273,1.7272727272727273,68.51801136363636,1.7272727272727273,33.1,False
72,623632,232,28,8279,12,7,927,Color Bomb Usage,15,16.3,2023-12-25 00:00:00.000000000,0,51,11,61,1,1,1,27,0.028022708056528567,38.0,1182.7142857142858,17.571428571428573,1077.6568684968856,17.571428571428573,16.3,False
73,1010043,10,277,800,95,24,891,Wrapped Candy Blast,0,24.37,2023-12-25 00:00:00.000000000,0,8,35,10,1,1,1,95,0.0125,38.0,33.333333333333336,2.2083333333333335,32.45208333333334,2.2083333333333335,24.37,False
74,235169,22,4,58258,3,5,219,Wrapped Candy Blast,0,75.15,2023-12-24 00:00:00.000000000,0,18,4,0,0,1,2,3,0.0003776305400116722,39.0,11651.6,4.4,10491.320188815269,4.4,80.0,False
75,195070,10,332,94238,64,19,50,Color Bomb Creation,0,20.87,2023-12-24 00:00:00.000000000,0,19,112,37,1,2,1,64,0.00010611430633077952,39.0,4959.894736842105,8.842105263157896,4470.994789899258,8.842105263157896,20.87,False
76,235237,90,29,11790,9,2,50,Special Candy Swap,23,16.09,2023-12-23 00:00:00.000000000,0,5,3,24,0,1,4,32,0.007633587786259542,40.0,5895.0,16.0,5320.303816793893,16.0,36.1,False
77,235237,131,88,10336,21,21,1330,Color Bomb Creation,3,9.84,2023-12-23 00:00:00.000000000,0,26,7,0,1,1,4,24,0.012674148606811146,40.0,492.1904761904762,1.5714285714285714,447.67776564573205,1.5714285714285714,36.1,False
78,235279,444,4,14239,32,1,1803,Wrapped Candy Blast,5,16.03,2023-12-23 00:00:00.000000000,0,15,0,0,1,1,2,37,0.031181965025633824,40.0,14239.0,15.0,12827.415590982513,15.0,30.0,False
79,235391,168,93,800,6,9,50,Special Candy Swap,49,20.93,2023-12-23 00:00:00.000000000,0,0,81,12,0,1,2,55,0.21,40.0,88.88888888888889,10.333333333333334,89.13833333333334,10.333333333333334,44.480000000000004,False
80,235411,10,4,800,13,18,1021,Color Bomb Creation,1,1.03,2023-12-23 00:00:00.000000000,0,3,0,0,0,1,2,14,0.0125,40.0,44.44444444444444,0.16666666666666666,41.922916666666666,0.16666666666666666,28.200000000000003,False
81,235628,124,400,95000,36,1,50,Fish Usage,49,19.05,2023-12-23 00:00:00.000000000,0,12,12,5,0,1,1,85,0.0013052631578947369,40.0,95000.0,29.0,85521.20065263158,29.0,19.05,False
82,42313,310,149,19335,13,22,298,Striped Candy Swipe,0,96.62,2023-12-23 00:00:00.000000000,0,0,24,1,0,1,1,13,0.016033100594776313,40.0,878.8636363636364,1.1363636363636365,792.6807438230246,1.1363636363636365,96.62,False
83,86760,10,178,60355,0,4,1410,Striped Candy Swipe,4,11.17,2023-12-23 00:00:00.000000000,0,17,8,11,1,1,1,4,0.00016568635572860574,40.0,15088.75,9.0,13587.075082843177,9.0,11.17,False
84,457612,10,81,800,75,21,163,Color Bomb Creation,8,3.0,2023-12-23 00:00:00.000000000,0,4,18,67,1,1,2,83,0.0125,40.0,38.095238095238095,4.238095238095238,39.05863095238095,4.238095238095238,3.43,False
85,528707,99,79,12566,95,2,510,Striped Candy Swipe,2,5.97,2023-12-23 00:00:00.000000000,0,1,0,8,1,1,1,97,0.007878402037243356,40.0,6283.0,4.5,5658.753939201018,4.5,5.97,False
86,579282,164,14,66156,32,6,903,Extra Moves,0,67.34,2023-12-23 00:00:00.000000000,0,21,8,5,0,1,1,32,0.002478989056170264,40.0,11026.0,5.666666666666667,9928.267906161194,5.666666666666667,67.34,False
87,758218,131,68,1566,0,19,339,Special Candy Swap,0,22.0,2023-12-23 00:00:00.000000000,0,51,57,7,1,1,2,0,0.08365261813537675,40.0,82.42105263157895,6.052631578947368,80.2576157827519,6.052631578947368,49.05,False
88,235746,10,4,800,8,23,790,Extra Moves,49,11.0,2023-12-22 00:00:00.000000000,0,50,4,5,1,1,1,57,0.0125,41.0,34.78260869565217,2.5652173913043477,34.00625,2.5652173913043477,11.0,False
89,124556,451,4,800,15,1,374,Extra Moves,1,12.88,2023-12-22 00:00:00.000000000,0,24,8,42,0,1,1,16,0.56375,41.0,800.0,74.0,772.981875,74.0,12.88,False
90,162242,359,15,27716,2,24,190,Extra Moves,0,14.81,2023-12-22 00:00:00.000000000,0,0,5,86,0,1,1,2,0.012952807042863328,41.0,1154.8333333333333,3.7916666666666665,1042.9106430701881,3.7916666666666665,14.81,False
91,170882,19,4,7857,74,1,1596,Striped Candy Swipe,0,99.99,2023-12-22 00:00:00.000000000,0,19,16,0,0,1,1,74,0.0024182257859233806,41.0,7857.0,35.0,7096.701209112893,35.0,99.99,False
92,218091,256,58,30716,12,1,748,Extra Moves,0,12.5,2023-12-22 00:00:00.000000000,0,1,1,1,0,1,2,12,0.00833441854408126,41.0,30716.0,3.0,27648.30416720927,3.0,28.22,False
93,633325,966,4,800,2,24,103,Fish Usage,0,5.53,2023-12-22 00:00:00.000000000,0,7,2,41,1,1,2,2,1.2075,41.0,33.333333333333336,2.0833333333333335,33.86208333333333,2.0833333333333335,7.3500000000000005,False
94,652788,175,4,32233,0,1,50,Extra Time Boost,1,2.12,2023-12-22 00:00:00.000000000,0,6,20,4,1,1,2,1,0.0054292185027766575,41.0,32233.0,30.0,29032.50271460925,30.0,3.37,False
95,235787,10,400,800,26,9,646,Striped Candy Swipe,3,99.99,2023-12-21 00:00:00.000000000,0,22,112,0,0,1,2,29,0.0125,42.0,88.88888888888889,14.88888888888889,92.22847222222221,14.88888888888889,125.74,False
96,180127,10,400,95000,51,24,509,Extra Time Boost,0,49.79,2023-12-21 00:00:00.000000000,0,4,112,0,0,1,1,51,0.00010526315789473685,42.0,3958.3333333333335,4.833333333333333,3566.783385964912,4.833333333333333,49.79,False
97,905953,134,38,4072,23,21,145,Striped Candy Swipe,34,24.01,2023-12-21 00:00:00.000000000,0,29,19,117,0,1,2,57,0.032907662082514735,42.0,193.9047619047619,7.857142857142857,181.83073954532696,7.857142857142857,45.31,False
98,235916,87,47,800,14,23,526,Fish Blast,3,21.42,2023-12-20 00:00:00.000000000,0,7,2,0,0,1,2,17,0.10875,43.0,34.78260869565217,0.391304347826087,33.43263586956522,0.391304347826087,91.35000000000001,False
99,235971,126,232,883,30,1,420,Fish Blast,2,99.99,2023-12-20 00:00:00.000000000,0,20,21,7,1,2,1,32,0.14269535673839184,43.0,883.0,48.0,829.2713476783692,48.0,99.99,False
100,236075,193,54,7020,56,10,441,Wrapped Candy Swap,30,7.97,2023-12-20 00:00:00.000000000,0,36,1,89,0,1,2,86,0.02749287749287749,43.0,702.0,12.6,642.4337464387465,12.6,107.96,False
101,40807,401,122,800,11,6,911,Striped Candy Swipe,12,99.99,2023-12-20 00:00:00.000000000,0,2,9,162,0,1,1,23,0.50125,43.0,133.33333333333334,28.833333333333332,141.33395833333336,28.833333333333332,99.99,False
102,136400,230,35,800,52,1,142,Wrapped Candy Swap,14,10.68,2023-12-20 00:00:00.000000000,0,24,4,42,0,1,1,66,0.2875,43.0,800.0,70.0,770.0437499999999,70.0,10.68,False
103,166852,138,116,800,13,21,827,Extra Moves,49,18.51,2023-12-20 00:00:00.000000000,0,2,5,30,0,1,1,62,0.1725,43.0,38.095238095238095,1.7619047619047619,36.50529761904762,1.7619047619047619,18.51,False
104,193363,10,4,800,5,1,250,Fish Usage,16,10.39,2023-12-20 00:00:00.000000000,0,5,3,12,0,1,1,21,0.0125,43.0,800.0,20.0,734.90625,20.0,10.39,False
105,537581,62,206,800,14,11,336,Extra Moves,31,5.95,2023-12-20 00:00:00.000000000,0,0,0,2,0,1,1,45,0.0775,43.0,72.72727272727273,0.18181818181818182,66.52056818181819,0.18181818181818182,5.95,False
106,1158290,10,67,800,14,2,889,Fish Usage,0,21.73,2023-12-20 00:00:00.000000000,0,46,8,0,1,1,1,14,0.0125,43.0,400.0,27.0,379.80625,27.0,21.73,False
107,1353898,173,49,8429,32,4,50,Color Bomb Usage,9,18.42,2023-12-20 00:00:00.000000000,0,0,0,7,1,1,1,41,0.020524380116265274,43.0,2107.25,1.75,1898.6602621900581,1.75,18.42,False
108,18948,10,100,800,36,1,1396,Striped Candy Swipe,6,6.5,2023-12-19 00:00:00.000000000,0,0,8,14,0,1,1,42,0.0125,44.0,800.0,22.0,736.30625,22.0,6.5,False
109,26309,10,331,800,15,5,1015,Fish Usage,22,16.7,2023-12-19 00:00:00.000000000,0,15,82,37,1,0,1,37,0.0125,44.0,160.0,26.8,163.66625,26.8,16.7,False
110,803618,10,95,2364,0,23,69,Extra Moves,0,15.33,2023-12-18 00:00:00.000000000,0,2,112,0,0,1,2,0,0.004230118443316413,45.0,102.78260869565217,4.956521739130435,97.77602810269991,4.956521739130435,115.32,False
111,914699,174,240,11453,2,24,357,Extra Moves,0,90.57,2023-12-17 00:00:00.000000000,0,4,4,0,0,0,3,2,0.015192525975726883,46.0,477.2083333333333,0.3333333333333333,432.4284295963212,0.3333333333333333,125.19999999999999,False
112,916874,10,222,800,10,24,584,Extra Moves,7,22.54,2023-12-17 00:00:00.000000000,0,41,20,17,0,1,2,17,0.0125,46.0,33.333333333333336,3.25,34.081250000000004,3.25,122.52999999999999,False
113,917726,998,10,7735,26,6,454,Extra Moves,1,8.64,2023-12-17 00:00:00.000000000,0,7,5,4,1,1,3,27,0.1290239172592114,46.0,1289.1666666666667,2.6666666666666665,1164.8811786252961,2.6666666666666665,139.8,False
114,919650,10,10,32021,82,24,507,Fish Usage,0,1.33,2023-12-17 00:00:00.000000000,0,26,7,15,1,0,3,82,0.00031229505636925765,46.0,1334.2083333333333,2.0,1204.8876561475283,2.0,25.109999999999996,False
115,924134,169,87,800,0,1,271,Striped Candy Swap,11,99.99,2023-12-17 00:00:00.000000000,0,15,0,0,1,1,3,11,0.21125,46.0,800.0,15.0,733.3056250000001,15.0,126.13,False
116,24443,25,75,800,3,1,50,Striped Candy Swipe,12,99.99,2023-12-17 00:00:00.000000000,0,4,37,6,1,1,1,15,0.03125,46.0,800.0,47.0,753.815625,47.0,99.99,False
117,98741,10,400,800,6,24,1845,Special Candy Swap,13,1.13,2023-12-17 00:00:00.000000000,0,14,0,21,0,1,1,19,0.0125,46.0,33.333333333333336,1.4583333333333333,31.927083333333336,1.4583333333333333,1.13,False
118,162228,16,4,800,38,14,50,Striped Candy Swipe,0,19.76,2023-12-17 00:00:00.000000000,0,57,10,0,1,1,1,38,0.02,46.0,57.142857142857146,4.785714285714286,55.68857142857143,4.785714285714286,19.76,False
119,190874,10,70,800,32,4,972,Striped Candy Swipe,8,7.99,2023-12-17 00:00:00.000000000,0,7,6,1,1,1,1,40,0.0125,46.0,200.0,3.5,183.35625,3.5,7.99,False
120,202810,31,261,1832,15,11,1671,Wrapped Candy Blast,4,13.68,2023-12-17 00:00:00.000000000,0,6,2,11,1,1,1,19,0.016921397379912665,46.0,166.54545454545453,1.7272727272727273,152.00846069868996,1.7272727272727273,13.68,False
121,206135,116,13,23531,10,24,1497,Color Bomb Usage,0,13.86,2023-12-17 00:00:00.000000000,0,27,7,1,0,1,2,10,0.004929667247460796,46.0,980.4583333333334,1.4583333333333333,885.2357981669571,1.4583333333333333,34.9,False
122,424436,203,256,36085,9,3,503,Striped Candy Swipe,2,25.4,2023-12-17 00:00:00.000000000,0,6,18,162,1,1,1,11,0.00562560620756547,46.0,12028.333333333334,62.0,10869.802812803104,62.0,25.4,False
